service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,agency_id,agency_name
72969,1,1,1,1,1,0,0,20180930,20190209,3D,Tri Delta Transit
72970,1,1,1,1,1,0,0,20180930,20201231,3D,Tri Delta Transit
72971,1,1,1,1,1,0,0,20190210,20201231,3D,Tri Delta Transit
74637,0,0,0,0,0,1,0,20180930,20190209,3D,Tri Delta Transit
74638,0,0,0,0,0,1,0,20180930,20201231,3D,Tri Delta Transit
74639,0,0,0,0,0,1,0,20190210,20201231,3D,Tri Delta Transit
74640,0,0,0,0,0,0,1,20180930,20201231,3D,Tri Delta Transit
74641,0,0,0,0,0,0,1,20180930,20190209,3D,Tri Delta Transit
74642,0,0,0,0,0,0,1,20190210,20201231,3D,Tri Delta Transit
74317,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
74315,1,1,1,1,0,0,1,20190402,20190613,AC,AC Transit
74316,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
74312,0,0,0,0,0,0,1,20190402,20190609,AC,AC Transit
74314,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74313,0,0,0,0,0,1,0,20190402,20190608,AC,AC Transit
72905,0,0,0,0,0,0,1,20190402,20190609,AC,AC Transit
72906,0,0,0,0,0,1,0,20190402,20190608,AC,AC Transit
72907,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
72908,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
72909,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
72910,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
74206,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
73210,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
73211,0,0,0,0,0,1,0,20190402,20190615,AC,AC Transit
74318,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
73212,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
74319,0,0,0,1,0,0,0,20190402,20190614,AC,AC Transit
73213,0,0,0,0,0,0,1,20190402,20190609,AC,AC Transit
74320,1,1,1,0,1,0,0,20190402,20190614,AC,AC Transit
73214,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74321,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
73215,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
74322,1,1,1,1,0,0,0,20190402,20190614,AC,AC Transit
73216,1,1,1,0,1,0,0,20190402,20190614,AC,AC Transit
74323,0,1,0,0,0,0,0,20190402,20190614,AC,AC Transit
74207,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
74324,1,0,1,1,1,0,0,20190402,20190614,AC,AC Transit
73218,0,0,0,1,0,0,0,20190402,20190614,AC,AC Transit
74325,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
73219,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74326,1,1,0,0,1,0,0,20190402,20190614,AC,AC Transit
73220,0,0,0,0,0,1,0,20190402,20190615,AC,AC Transit
74327,0,0,1,1,0,0,0,20190402,20190614,AC,AC Transit
74295,0,0,0,0,0,0,1,20190402,20190609,AC,AC Transit
74328,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74296,0,0,0,0,0,1,0,20190402,20190608,AC,AC Transit
74329,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74297,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74330,0,0,0,0,0,1,0,20190402,20190615,AC,AC Transit
74298,1,1,1,1,0,0,1,20190402,20190613,AC,AC Transit
74331,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
74299,1,0,1,0,1,0,0,20190402,20190614,AC,AC Transit
74300,0,1,0,1,0,0,0,20190402,20190614,AC,AC Transit
74301,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
74302,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
74303,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
74304,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
74305,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
74306,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
74307,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74308,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74309,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74310,0,0,0,0,0,1,0,20190402,20190615,AC,AC Transit
74311,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
72761,0,0,0,0,0,1,1,20180507,20200331,AM,Capitol Corridor Joint Powers Authority
72762,1,1,1,1,1,0,0,20180507,20200331,AM,Capitol Corridor Joint Powers Authority
72953,1,1,1,1,1,0,0,20190211,20200210,BA,Bay Area Rapid Transit
72954,0,0,0,0,0,1,0,20190211,20200210,BA,Bay Area Rapid Transit
72955,0,0,0,0,0,0,1,20190211,20200210,BA,Bay Area Rapid Transit
73059,0,0,0,0,0,1,0,20190310,20190608,CC,County Connection
73060,0,0,0,0,0,0,1,20190310,20190608,CC,County Connection
74338,0,0,0,1,1,0,0,20190310,20190608,CC,County Connection
74339,1,1,1,1,0,0,0,20190310,20190608,CC,County Connection
74340,1,1,1,1,1,0,0,20190310,20190608,CC,County Connection
74341,0,0,0,0,1,0,0,20190310,20190608,CC,County Connection
72777,1,1,1,1,1,0,0,20130311,20190519,CE,Altamont Corridor Express
73306,1,1,1,1,1,0,0,20190318,20200420,CM,Commute.org Shuttles
74709,1,1,1,1,1,0,0,20180409,20200420,CM,Commute.org Shuttles
74710,1,0,0,0,0,0,0,20180409,20200420,CM,Commute.org Shuttles
72981,0,0,0,0,0,1,1,20190401,20200101,CT,Caltrain
72982,0,0,0,0,0,1,0,20190401,20200101,CT,Caltrain
72983,1,1,1,1,1,0,0,20190401,20200101,CT,Caltrain
74732,0,0,0,0,0,0,0,20190601,20190623,CT,Caltrain
74733,0,0,0,0,0,0,0,20190601,20190622,CT,Caltrain
74734,0,0,0,0,0,0,0,20190515,20190515,CT,Caltrain
74735,0,0,0,0,0,0,0,20190608,20190608,CT,Caltrain
74736,0,0,0,0,0,0,0,20190629,20190629,CT,Caltrain
74737,0,0,0,0,0,0,0,20190511,20190831,CT,Caltrain
74738,0,0,0,0,0,0,0,20190413,20190928,CT,Caltrain
74739,0,0,0,0,0,0,0,20190523,20190929,CT,Caltrain
74740,0,0,0,0,0,0,0,20190527,20190902,CT,Caltrain
72781,1,1,1,1,1,0,0,20190401,20190614,DE,Dumbarton Express Consortium
72790,0,0,0,0,0,0,1,20181130,20191231,EM,Emery Go-Round
72791,0,0,0,0,0,1,0,20181130,20191231,EM,Emery Go-Round
72792,1,1,1,1,1,0,0,20181130,20191231,EM,Emery Go-Round
72801,0,0,0,0,0,1,0,20180701,20190630,FS,Fairfield and Suisun Transit
72802,1,1,1,1,1,0,0,20180701,20190630,FS,Fairfield and Suisun Transit
72803,0,0,0,0,1,0,0,20180701,20190630,FS,Fairfield and Suisun Transit
72804,1,1,1,1,0,0,0,20180701,20190630,FS,Fairfield and Suisun Transit
72805,1,1,1,1,1,0,0,20190528,20190607,FS,Fairfield and Suisun Transit
73394,1,1,1,1,1,0,0,20190423,20190523,FS,Fairfield and Suisun Transit
73395,1,1,1,1,1,0,0,20190401,20190418,FS,Fairfield and Suisun Transit
74008,1,1,1,1,1,0,0,20190311,20190322,FS,Fairfield and Suisun Transit
72813,1,1,1,1,1,0,0,20190325,20190607,GF,Golden Gate Ferry
72814,0,0,0,0,0,1,0,20190325,20190608,GF,Golden Gate Ferry
72815,0,0,0,0,0,0,1,20190325,20190602,GF,Golden Gate Ferry
73017,0,0,0,0,0,0,1,20190414,20190602,GG,Golden Gate Transit
74285,1,1,1,1,1,0,0,20190415,20190607,GG,Golden Gate Transit
74463,1,1,1,1,1,0,0,20190415,20190607,GG,Golden Gate Transit
74612,1,1,1,1,1,0,0,20190415,20190607,GG,Golden Gate Transit
74722,0,0,0,0,0,1,0,20190420,20190608,GG,Golden Gate Transit
72918,0,0,0,1,0,0,0,20190310,20190613,MA,Marin Transit
72919,0,0,1,0,0,0,0,20190310,20190613,MA,Marin Transit
72920,0,1,0,0,0,0,0,20190310,20190613,MA,Marin Transit
72921,0,0,0,0,1,0,0,20190310,20190613,MA,Marin Transit
72922,1,0,0,0,0,0,0,20190310,20190613,MA,Marin Transit
72923,0,0,0,0,0,0,1,20190302,20191027,MA,Marin Transit
72924,0,0,0,0,0,1,0,20190302,20191027,MA,Marin Transit
72925,0,0,0,1,0,0,0,20190310,20190524,MA,Marin Transit
72926,0,0,1,0,0,0,0,20190310,20190524,MA,Marin Transit
72927,0,1,0,0,0,0,0,20190310,20190524,MA,Marin Transit
74665,0,0,0,0,1,0,0,20190310,20190524,MA,Marin Transit
74666,1,0,0,0,0,0,0,20190310,20190524,MA,Marin Transit
74667,0,0,0,0,0,0,1,20190310,20190608,MA,Marin Transit
74668,0,0,0,0,0,1,0,20190310,20190608,MA,Marin Transit
74669,1,1,1,1,1,0,0,20190310,20190608,MA,Marin Transit
73075,1,1,1,1,1,0,0,20170410,20181001,MS,Stanford Marguerite Shuttle
73076,0,0,0,0,0,1,1,20180528,20181123,MS,Stanford Marguerite Shuttle
73077,1,1,1,1,1,0,0,20171124,20180219,MS,Stanford Marguerite Shuttle
73078,1,1,1,1,1,0,0,20170918,20180831,MS,Stanford Marguerite Shuttle
73079,0,0,0,0,0,1,1,20170415,20170618,MS,Stanford Marguerite Shuttle
73080,1,1,1,1,1,1,1,20170918,20180615,MS,Stanford Marguerite Shuttle
73081,1,1,1,1,1,0,0,20170410,20181001,MS,Stanford Marguerite Shuttle
73082,1,1,1,1,1,0,0,20170410,20181001,MS,Stanford Marguerite Shuttle
73503,0,0,0,0,0,1,1,20180528,20181123,MS,Stanford Marguerite Shuttle
72835,1,1,1,1,1,0,0,20181222,20190107,PE,Petaluma Transit
72836,0,0,0,0,0,1,0,20181222,20190107,PE,Petaluma Transit
72837,0,0,0,0,0,0,1,20181222,20190107,PE,Petaluma Transit
72838,1,1,1,1,1,0,0,20190316,20190324,PE,Petaluma Transit
72839,0,0,0,0,0,1,0,20190316,20190324,PE,Petaluma Transit
72840,0,0,0,0,0,0,1,20190316,20190324,PE,Petaluma Transit
74537,1,1,0,1,1,0,0,20180815,20181221,PE,Petaluma Transit
74538,1,1,1,1,1,0,0,20180815,20181221,PE,Petaluma Transit
74539,0,0,0,0,0,1,0,20180815,20181221,PE,Petaluma Transit
74540,0,0,1,0,0,0,0,20180815,20181221,PE,Petaluma Transit
74541,0,0,0,0,0,0,1,20180815,20181221,PE,Petaluma Transit
74542,1,1,0,1,1,0,0,20190108,20190315,PE,Petaluma Transit
74543,1,1,1,1,1,0,0,20190108,20190315,PE,Petaluma Transit
74544,0,0,0,0,0,1,0,20190108,20190315,PE,Petaluma Transit
74545,0,0,1,0,0,0,0,20190108,20190315,PE,Petaluma Transit
74546,0,0,0,0,0,0,1,20190108,20190315,PE,Petaluma Transit
74547,1,1,0,1,1,0,0,20190325,20190531,PE,Petaluma Transit
74548,1,1,1,1,1,0,0,20190325,20190531,PE,Petaluma Transit
74549,0,0,0,0,0,1,0,20190325,20190531,PE,Petaluma Transit
74550,0,0,1,0,0,0,0,20190325,20190531,PE,Petaluma Transit
74551,0,0,0,0,0,0,1,20190325,20190531,PE,Petaluma Transit
74552,0,0,0,0,0,0,0,20190527,20190527,PE,Petaluma Transit
74553,0,0,0,0,0,0,0,20181224,20181224,PE,Petaluma Transit
74554,0,0,0,0,0,0,0,20190114,20190218,PE,Petaluma Transit
72849,1,1,1,1,1,0,0,20170201,20201201,RV,Rio Vista Delta Breeze
73343,1,1,1,1,1,0,0,20170825,20201231,SA,Sonoma Marin Area Rail Transit
73344,0,0,0,0,0,1,1,20170825,20201231,SA,Sonoma Marin Area Rail Transit
72855,1,1,1,1,1,0,0,20190214,20200101,SB,San Francisco Bay Ferry
72856,1,1,1,1,1,1,1,20190218,20190218,SB,San Francisco Bay Ferry
74239,1,1,1,1,1,0,0,20190110,20190213,SB,San Francisco Bay Ferry
74411,1,1,1,1,1,0,0,20190109,20200101,SB,San Francisco Bay Ferry
74451,0,0,0,0,0,1,1,20181220,20200101,SB,San Francisco Bay Ferry
74534,1,1,1,1,1,0,0,20181220,20200101,SB,San Francisco Bay Ferry
74618,1,1,1,1,1,0,0,20181029,20200101,SB,San Francisco Bay Ferry
74646,0,0,0,0,0,1,1,20181029,20200101,SB,San Francisco Bay Ferry
74654,1,1,1,1,1,0,0,20181029,20200101,SB,San Francisco Bay Ferry
72914,1,1,1,1,1,0,0,20190408,20190630,SC,VTA
72915,0,0,0,0,0,1,0,20190408,20190630,SC,VTA
72916,0,0,0,0,0,0,1,20190408,20190630,SC,VTA
74716,0,0,0,0,0,0,0,20190413,20190413,SC,VTA
73692,1,1,1,1,1,0,0,20190413,20190614,SF,San Francisco Municipal Transportation Agency
73693,0,0,0,0,0,1,0,20190413,20190614,SF,San Francisco Municipal Transportation Agency
73694,0,0,0,0,0,0,1,20190413,20190614,SF,San Francisco Municipal Transportation Agency
73025,0,0,0,0,0,0,1,20190210,20190616,SM,SamTrans
73026,1,1,1,1,1,0,0,20190211,20190621,SM,SamTrans
73027,1,1,1,1,1,0,0,20190211,20190621,SM,SamTrans
73028,1,1,1,1,1,0,0,20190211,20190621,SM,SamTrans
73029,0,0,0,1,0,0,0,20190211,20190621,SM,SamTrans
73030,1,1,1,0,1,0,0,20190211,20190621,SM,SamTrans
73031,1,1,0,1,1,0,0,20190211,20190621,SM,SamTrans
73032,0,0,1,0,0,0,0,20190211,20190621,SM,SamTrans
73033,0,0,1,1,0,0,0,20190211,20190621,SM,SamTrans
73034,1,1,0,0,1,0,0,20190211,20190621,SM,SamTrans
73035,1,0,1,1,1,0,0,20190211,20190621,SM,SamTrans
73036,0,1,0,0,0,0,0,20190211,20190621,SM,SamTrans
73037,0,1,0,1,0,0,0,20190211,20190621,SM,SamTrans
73038,0,0,0,0,0,1,0,20190216,20190622,SM,SamTrans
73086,0,0,1,0,0,0,0,20180814,20190601,SO,Sonoma County Transit LastGenerated
73087,1,1,1,1,1,0,0,20180814,20190601,SO,Sonoma County Transit LastGenerated
73088,1,1,0,1,1,0,0,20180814,20190601,SO,Sonoma County Transit LastGenerated
73089,0,0,0,0,0,1,1,20190310,20200101,SO,Sonoma County Transit LastGenerated
73720,0,0,0,0,0,1,0,20190310,20200101,SO,Sonoma County Transit LastGenerated
73721,1,1,1,1,1,0,0,20190310,20200101,SO,Sonoma County Transit LastGenerated
73722,0,0,0,0,0,1,1,20181209,20200101,SO,Sonoma County Transit LastGenerated
73838,0,0,0,0,0,1,0,20181209,20200101,SO,Sonoma County Transit LastGenerated
74187,1,1,1,1,1,0,0,20181209,20200101,SO,Sonoma County Transit LastGenerated
74188,0,0,0,0,0,0,0,20191129,20191231,SO,Sonoma County Transit LastGenerated
74189,0,0,0,0,0,0,0,20191129,20191231,SO,Sonoma County Transit LastGenerated
74691,0,0,0,0,0,0,0,20191129,20191231,SO,Sonoma County Transit LastGenerated
74692,0,0,0,0,0,0,0,20191129,20191231,SO,Sonoma County Transit LastGenerated
73068,0,0,0,0,0,1,0,20180727,20190727,SR,Santa Rosa CityBus LastGenerated
73069,0,0,0,0,0,0,1,20180727,20190727,SR,Santa Rosa CityBus LastGenerated
73070,1,1,1,1,1,0,0,20180727,20190727,SR,Santa Rosa CityBus LastGenerated
73005,0,0,0,0,0,0,1,20190310,20190629,ST,SolTrans LastGenerated
73006,0,0,0,0,0,1,0,20190310,20190629,ST,SolTrans LastGenerated
73007,1,1,1,1,1,0,0,20190310,20190629,ST,SolTrans LastGenerated
73008,0,0,0,0,1,0,0,20190310,20190629,ST,SolTrans LastGenerated
73009,1,1,1,1,0,0,0,20190310,20190629,ST,SolTrans LastGenerated
73991,1,1,1,1,1,0,0,20181001,20190629,ST,SolTrans LastGenerated
74346,1,1,1,1,1,0,0,20180814,20200418,TD,Tideline Marine Group Inc LastGenerated
72865,0,0,0,0,0,1,0,20190101,20191231,UC,Union City Transit LastGenerated
72866,1,1,1,1,1,0,0,20190101,20191231,UC,Union City Transit LastGenerated
72867,0,0,0,0,0,0,1,20190101,20191231,UC,Union City Transit LastGenerated
72877,0,0,0,0,0,1,0,20190419,20190428,VC,Vacaville City Coach LastGenerated
72878,1,1,1,1,1,0,0,20190419,20190428,VC,Vacaville City Coach LastGenerated
74262,0,0,0,0,0,1,0,20190216,20190224,VC,Vacaville City Coach LastGenerated
74263,1,1,1,1,1,0,0,20190216,20190224,VC,Vacaville City Coach LastGenerated
74264,0,0,1,0,0,0,0,20190429,20190606,VC,Vacaville City Coach LastGenerated
74265,0,0,0,0,0,1,0,20190429,20190606,VC,Vacaville City Coach LastGenerated
74266,1,1,1,1,1,0,0,20190429,20190606,VC,Vacaville City Coach LastGenerated
74267,1,1,0,1,1,0,0,20190429,20190606,VC,Vacaville City Coach LastGenerated
74268,0,0,1,0,0,0,0,20190225,20190418,VC,Vacaville City Coach LastGenerated
74269,0,0,0,0,0,1,0,20190225,20190418,VC,Vacaville City Coach LastGenerated
74270,1,1,1,1,1,0,0,20190225,20190418,VC,Vacaville City Coach LastGenerated
74271,1,1,0,1,1,0,0,20190225,20190418,VC,Vacaville City Coach LastGenerated
74272,0,0,0,0,0,1,0,20180608,20190606,VC,Vacaville City Coach LastGenerated
74439,1,1,1,1,1,0,0,20180608,20190606,VC,Vacaville City Coach LastGenerated
74440,0,0,0,0,0,0,0,20191111,20191224,VC,Vacaville City Coach LastGenerated
73047,0,0,0,0,0,0,1,20180823,20190823,VN,Napa LastGenerated
73048,1,1,1,1,1,0,0,20180823,20190823,VN,Napa LastGenerated
73049,0,0,0,0,0,1,0,20180823,20190823,VN,Napa LastGenerated
72889,1,1,1,1,1,0,0,20190211,20200101,WC,WestCat (Western Contra Costa) LastGenerated
72890,1,1,1,1,1,0,0,20160601,20200101,WC,WestCat (Western Contra Costa) LastGenerated
72891,0,0,0,0,0,1,0,20160601,20200101,WC,WestCat (Western Contra Costa) LastGenerated
72892,0,0,0,0,0,0,1,20160601,20200101,WC,WestCat (Western Contra Costa) LastGenerated
72893,0,0,0,0,0,1,0,20160601,20200101,WC,WestCat (Western Contra Costa) LastGenerated
72894,1,1,1,1,1,0,0,20160601,20200101,WC,WestCat (Western Contra Costa) LastGenerated
72895,0,0,1,0,0,0,0,20190102,20190405,WC,WestCat (Western Contra Costa) LastGenerated
72896,1,1,1,1,1,0,0,20190102,20190405,WC,WestCat (Western Contra Costa) LastGenerated
72897,1,1,0,1,1,0,0,20190102,20190405,WC,WestCat (Western Contra Costa) LastGenerated
74352,1,1,1,1,1,0,0,20170501,20200101,WC,WestCat (Western Contra Costa) LastGenerated
74353,0,0,0,0,0,0,0,20191111,20191129,WC,WestCat (Western Contra Costa) LastGenerated
74354,0,0,0,0,0,0,0,20190527,20200101,WC,WestCat (Western Contra Costa) LastGenerated
74355,0,0,0,0,0,0,0,20191111,20191129,WC,WestCat (Western Contra Costa) LastGenerated
72989,0,0,0,0,0,1,0,20190304,20190531,WH,Livermore Amador Valley Transit Authority LastGenerated
72990,0,0,0,0,0,0,1,20190304,20190531,WH,Livermore Amador Valley Transit Authority LastGenerated
72991,0,0,1,0,0,0,0,20190304,20190531,WH,Livermore Amador Valley Transit Authority LastGenerated
73738,1,0,0,0,1,0,0,20190304,20190531,WH,Livermore Amador Valley Transit Authority LastGenerated
74396,0,1,0,0,0,0,0,20190304,20190531,WH,Livermore Amador Valley Transit Authority LastGenerated
74397,0,0,0,1,0,0,0,20190304,20190531,WH,Livermore Amador Valley Transit Authority LastGenerated
